"Index","MSFT.Adjusted"
"2022-10-28","2022-10-28",233.139907836914
"2022-10-31","2022-10-31",229.443206787109
"2022-11-01","2022-11-01",225.529052734375
"2022-11-02","2022-11-02",217.552444458008
"2022-11-03","2022-11-03",211.770172119141
"2022-11-04","2022-11-04",218.827514648438
"2022-11-07","2022-11-07",225.232528686523
"2022-11-08","2022-11-08",226.220932006836
"2022-11-09","2022-11-09",221.911407470703
"2022-11-10","2022-11-10",240.167617797852
"2022-11-11","2022-11-11",244.249801635742
"2022-11-14","2022-11-14",238.754165649414
"2022-11-15","2022-11-15",239.169326782227
"2022-11-16","2022-11-16",239.605438232422
"2022-11-17","2022-11-17",239.555877685547
"2022-11-18","2022-11-18",239.099914550781
"2022-11-21","2022-11-21",239.922622680664
"2022-11-22","2022-11-22",242.876419067383
"2022-11-23","2022-11-23",245.404037475586
"2022-11-25","2022-11-25",245.314819335938
"2022-11-28","2022-11-28",239.635177612305
"2022-11-29","2022-11-29",238.217758178711
"2022-11-30","2022-11-30",252.897583007812
"2022-12-01","2022-12-01",252.451522827148
"2022-12-02","2022-12-02",252.77864074707
"2022-12-05","2022-12-05",248.001007080078
"2022-12-06","2022-12-06",242.965637207031
"2022-12-07","2022-12-07",242.222229003906
"2022-12-08","2022-12-08",245.225616455078
"2022-12-09","2022-12-09",243.263000488281
"2022-12-12","2022-12-12",250.290679931641
"2022-12-13","2022-12-13",254.66194152832
"2022-12-14","2022-12-14",254.95930480957
"2022-12-15","2022-12-15",246.82145690918
"2022-12-16","2022-12-16",242.539428710938
"2022-12-19","2022-12-19",238.336700439453
"2022-12-20","2022-12-20",239.674819946289
"2022-12-21","2022-12-21",242.281692504883
"2022-12-22","2022-12-22",236.096542358398
"2022-12-23","2022-12-23",236.631820678711
"2022-12-27","2022-12-27",234.877380371094
"2022-12-28","2022-12-28",232.468719482422
"2022-12-29","2022-12-29",238.891754150391
"2022-12-30","2022-12-30",237.712219238281
"2023-01-03","2023-01-03",237.474334716797
"2023-01-04","2023-01-04",227.086456298828
"2023-01-05","2023-01-05",220.35612487793
"2023-01-06","2023-01-06",222.953079223633
"2023-01-09","2023-01-09",225.123840332031
"2023-01-10","2023-01-10",226.838638305664
"2023-01-11","2023-01-11",233.697830200195
"2023-01-12","2023-01-12",236.41374206543
"2023-01-13","2023-01-13",237.127410888672
"2023-01-17","2023-01-17",238.237579345703
"2023-01-18","2023-01-18",233.737457275391
"2023-01-19","2023-01-19",229.891555786133
"2023-01-20","2023-01-20",238.108703613281
"2023-01-23","2023-01-23",240.447967529297
"2023-01-24","2023-01-24",239.912704467773
"2023-01-25","2023-01-25",238.49528503418
"2023-01-26","2023-01-26",245.820327758789
"2023-01-27","2023-01-27",245.978942871094
"2023-01-30","2023-01-30",240.576843261719
"2023-01-31","2023-01-31",245.631988525391
"2023-02-01","2023-02-01",250.528579711914
"2023-02-02","2023-02-02",262.274444580078
"2023-02-03","2023-02-03",256.079345703125
"2023-02-06","2023-02-06",254.513229370117
"2023-02-07","2023-02-07",265.208404541016
"2023-02-08","2023-02-08",264.3857421875
